#{"t_start": 1764555343.0488374, "env_id": "None"}
r,l,t
19.92383,1000,0.979136
98.391883,1000,2.701884
36.570507,1000,4.421631
10.880928,1000,5.804338
214.886745,1000,7.386717
201.453456,1000,8.991985
30.859848,1000,10.624562
170.218048,1000,12.212
190.369882,1000,13.822439
157.612941,1000,15.476636
166.9839,1000,22.868565
203.826663,1000,24.175654
178.71465,1000,25.761165
175.98594,1000,27.276197
138.903483,1000,28.812767
143.941141,1000,30.378773
155.074871,1000,31.958752
203.055973,1000,33.68046
156.829547,1000,35.469698
190.687088,1000,37.240469
198.937808,1000,44.958584
204.11693,1000,46.550376
207.155713,1000,48.151891
279.912942,1000,49.783148
200.270999,1000,51.400337
212.533003,1000,53.026342
202.959519,1000,54.642067
213.998793,1000,56.219482
247.41226,1000,57.816518
211.311786,1000,59.428638
209.611645,1000,66.92456
200.978856,1000,68.619559
205.442582,1000,70.431378
297.407368,1000,72.267458
214.739458,1000,74.018121
427.087922,1000,75.606417
296.02945,1000,77.224242
326.364618,1000,78.836857
308.09148,1000,80.226549
288.692618,1000,81.799627
283.136092,1000,89.323452
272.618504,1000,90.953196
281.491499,1000,91.756886
303.171807,1000,93.453745
357.207618,1000,95.203073
399.171968,1000,96.726812
370.320112,1000,98.353261
288.775028,1000,99.948585
313.639393,1000,101.555799
327.710963,1000,103.148542
325.544375,1000,111.092793
312.788709,1000,112.62356
347.559692,1000,114.202141
330.364813,1000,115.780317
349.316461,1000,117.394562
279.018723,1000,119.052522
252.435708,1000,120.660318
234.610467,1000,122.12468
431.636514,1000,123.767946
313.234929,1000,125.38593
330.132075,1000,132.795087
368.428118,1000,134.397916
352.820002,1000,136.012159
316.453918,1000,137.711629
317.543698,1000,139.539443
368.919496,1000,141.352211
207.747997,1000,142.991548
465.705585,1000,144.570471
282.96695,1000,146.019738
386.973159,1000,147.608271
352.988347,1000,154.835011
328.064636,1000,156.49019
373.5165,1000,158.007045
371.710251,1000,159.667876
339.714476,1000,161.424427
311.8679,1000,163.059122
319.628233,1000,164.672838
330.215055,1000,166.009461
269.201918,1000,167.584117
390.316559,1000,169.253568
392.30689,1000,176.724518
288.312344,1000,178.314041
338.585212,1000,180.059512
362.612428,1000,181.596861
497.905817,1000,183.390391
312.072154,1000,184.270734
378.854086,1000,186.141803
333.534861,1000,187.803656
357.009675,1000,189.384426
314.605251,1000,190.724344
485.855706,1000,197.978749
398.167885,1000,199.679897
371.819772,1000,201.118774
379.719208,1000,202.644213
377.390661,1000,204.252651
381.249265,1000,205.726032
446.056988,1000,207.36152
527.407668,1000,209.015046
458.056853,1000,210.615593
473.753399,1000,212.259382
407.647844,1000,220.270496
231.539985,1000,221.845423
542.112408,1000,223.385889
512.641458,1000,225.149768
442.518642,1000,226.789075
544.856332,1000,228.383496
430.951703,1000,229.963391
571.815145,1000,231.569924
576.750451,1000,233.156173
520.508664,1000,234.813932
441.347541,1000,242.375771
674.669413,1000,243.973027
407.082766,1000,245.584951
379.274787,1000,246.942531
489.007415,1000,248.540032
581.671351,1000,250.184775
437.358843,1000,251.644144
571.792471,1000,253.205263
317.014075,1000,254.864807
673.211581,1000,256.412652
422.339367,1000,263.731842
405.168286,1000,265.25388
465.779495,1000,266.945398
369.616128,1000,268.648527
496.40121,1000,270.507228
703.520799,1000,272.1456
787.285946,1000,273.944177
805.283416,1000,274.790867
775.095509,1000,276.417398
797.413644,1000,278.014461
784.787962,1000,285.154841
801.996105,1000,286.758064
801.717582,1000,288.067199
680.594051,1000,289.707189
803.691957,1000,291.261833
776.665704,1000,292.918715
826.560542,1000,294.128139
820.75684,1000,295.594778
834.835245,1000,297.190226
778.041833,1000,298.658002
797.719923,1000,306.226298
830.114201,1000,308.090922
835.680544,1000,309.701073
838.746291,1000,311.42553
831.340153,1000,313.190653
844.198254,1000,314.869172
845.174046,1000,316.538725
842.333978,1000,318.253736
846.469759,1000,319.909909
844.646818,1000,321.405681
